permission_name,role_name
view_project,super_admin
view_project,admin
view_project,user
view_any_project,super_admin
view_any_project,admin
view_any_project,user
create_project,super_admin
create_project,admin
update_project,super_admin
update_project,admin
restore_project,super_admin
restore_project,admin
restore_any_project,super_admin
restore_any_project,admin
replicate_project,super_admin
replicate_project,admin
reorder_project,super_admin
reorder_project,admin
delete_project,super_admin
delete_project,admin
delete_any_project,super_admin
delete_any_project,admin
force_delete_project,super_admin
force_delete_project,admin
force_delete_any_project,super_admin
force_delete_any_project,admin
view_role,super_admin
view_any_role,super_admin
create_role,super_admin
update_role,super_admin
delete_role,super_admin
delete_any_role,super_admin
view_task,super_admin
view_task,admin
view_task,user
view_any_task,super_admin
view_any_task,admin
view_any_task,user
create_task,super_admin
create_task,admin
update_task,super_admin
update_task,admin
update_task,user
restore_task,super_admin
restore_task,admin
restore_any_task,super_admin
restore_any_task,admin
replicate_task,super_admin
replicate_task,admin
reorder_task,super_admin
reorder_task,admin
reorder_task,user
delete_task,super_admin
delete_task,admin
delete_any_task,super_admin
delete_any_task,admin
force_delete_task,super_admin
force_delete_task,admin
force_delete_any_task,super_admin
force_delete_any_task,admin
view_user,super_admin
view_user,admin
view_any_user,super_admin
view_any_user,admin
create_user,super_admin
create_user,admin
update_user,super_admin
update_user,admin
restore_user,super_admin
restore_user,admin
restore_any_user,super_admin
restore_any_user,admin
replicate_user,super_admin
replicate_user,admin
reorder_user,super_admin
reorder_user,admin
delete_user,super_admin
delete_user,admin
delete_any_user,super_admin
delete_any_user,admin
force_delete_user,super_admin
force_delete_user,admin
force_delete_any_user,super_admin
force_delete_any_user,admin
